A,B,C,D,E,F
15,126.34,23,155.45,-36.3731,-21
11,90.22,35,251.22,29.1305,10.6026
11,90.44,15,91.04,20.0824,6.1398
38,333.4,5,11.33,-21.8866,-19.0257
23,198.18,0,-28.59,-19.0564,-31.7152
37,324.27,31,219.3,31.5034,21.2493
28,243.27,26,179.52,45.1362,59.8976
20,171.55,37,267.52,-91.3199,-26.1855
17,144.32,6,19.11,41.3132,81.0816
13,108.03,19,123.1,-47.6928,-76.3243
27,233.97,25,171.07,-30.8348,-35.4713
11,90.5,34,243.55,-11.5351,-3.30765
28,243.17,11,59.02,-53.4923,-66.0574
8,63.41,11,59.52,-44.3524,-52.857
13,108.41,1,-20.91,10.3927,27.0738
27,234.13,4,3.1,-10.3284,-19.4248
9,72.06,2,-12.6,23.0532,54.3098
36,315.04,22,147.04,-39.5637,-38.2062
15,126.1,13,75.55,68.5734,41.203
13,108.5,0,-28.56,75.6831,18.8699
11,90.14,37,267.12,-90.864,-36.7114
24,207.28,29,203.15,15.6472,20.7645
20,170.99,8,34.99,-18.8151,-2.64429
31,270.13,18,115.53,-32.0011,-65.6119
33,287.97,24,163.42,-36.1459,-38.7617
27,234.07,0,-28.47,-74.0766,-11.7326
4,27.38,6,19.5,-77.4607,-23.6821
13,108.56,7,27.38,20.2844,5.4352
26,225.09,17,107.42,-10.0926,-29.3111
36,315.31,36,259.37,-59.8793,-11.6393
15,126.55,6,19.32,28.3271,47.1442
9,72.16,25,171.44,1.36808,3.75877
20,171.14,4,3.36,-7.54804,-4.90175
19,162.54,22,147.25,-52.0087,-40.6336
24,207.39,17,107.3,-14.0936,-9.50627
9,73.15,27,187.12,46.2944,71.287
39,342.03,13,75.22,4.45887,4.01478
22,189.55,27,187.55,35.7393,9.5763
16,135.33,19,123.28,36.5445,5.78807
34,296.98,28,195.41,49.5157,54.9927
13,108.12,33,235.49,10.1256,4.29804
15,126.19,37,267.05,22.1018,54.7038
18,153.18,21,139.34,-48.0833,-48.0832
27,234.25,18,115.35,16.4545,9.49999
12,99.43,29,203.18,-65.7785,-23.9414
24,207.12,11,59.15,-47.8923,-55.0938
28,242.99,8,35.34,2.19406,2.04599
32,279.1,21,139.3,-29.9444,-23.3951
35,306.18,22,147.51,31.2653,50.0348
9,72.01,31,219.27,-18.1243,-14.1602
26,225.5,8,35.06,-66.0019,-39.6579
15,126.21,30,211,38.5274,14.0228
31,270.31,30,211.5,-64.6895,-48.747
26,225.52,5,11.37,-69.4485,-14.7617
6,45.27,1,-20.94,0.97437,0.224951
3,18.36,3,-4.72,-37.5578,-70.6358
39,342.32,31,218.99,25.916,27.7914
27,234.19,18,115.27,-24.8517,-81.2859
14,117.1,5,11.37,56.4211,64.905
17,144.41,16,99.47,-51.1374,-70.3844
8,63.33,28,195.28,-33.8095,-72.5046
30,261.16,35,251.18,-30.3873,-50.5728
26,224.98,8,35.01,-10.8636,-26.8883
34,297.22,8,35.56,19.0564,31.7152
25,216.11,18,115.31,51.1127,38.5161
23,198.41,0,-28.99,22.9363,16.0601
4,27.07,0,-29.03,-77.6994,-41.3135
6,45.55,14,83.51,-8.03447,-24.7275
29,252.26,3,-4.66,-22.9431,-32.7661
24,207.15,7,27.39,-67.3382,-9.46376
26,225.52,8,35.44,11.4025,37.2959
7,54.41,38,275.36,29.6956,69.9583
25,216.11,32,227.16,-44.3277,-56.7367
37,324.06,8,35.09,-85.1929,-39.7261
12,99.27,18,115.28,35.9226,77.0361
15,126.28,18,115.32,48.5148,12.0961
23,198.07,13,75.3,-68.2496,-19.5702
8,63.11,35,251.17,24.432,8.89252
27,234.52,24,163.04,-42.9235,-68.6919
8,63.4,13,75.03,-27.4702,-58.91
29,252.27,2,-12.56,-71.7229,-21.9279
36,314.97,22,147.39,16.4015,18.8677
15,126.5,10,51.2,29.9634,58.8064
18,153.1,35,251.32,-6.91382,-1.09504
18,153.38,38,275.48,51.0955,29.5
22,188.97,35,251.53,21.2409,32.7081
0,-8.75,4,3.52,-24.8075,-86.5135
19,162.54,15,91.38,-16.2695,-36.5418
30,261.08,6,19.54,37.7,77.2963
32,279.41,32,227.39,-63.8473,-35.3911
7,53.98,4,3.51,67.3457,37.3303
6,45.07,32,227.27,43.7783,72.8592
11,90.13,11,59.23,25.364,14.0595
39,342.08,15,91.23,-81.7903,-39.8917
17,144.38,5,11.19,45.2051,69.6096
26,225.19,34,243.07,72.2803,23.4853
6,44.99,5,11.35,25.2374,36.0427
24,207.52,18,115.33,-39.0432,-76.6265
12,99.22,19,123.04,-81.9249,-34.775
28,243.18,21,139.02,27.0608,33.4173
17,144.26,18,115.4,68.6786,59.7013
39,342.35,8,35.01,6.21717,5.03456
27,234.1,20,131.34,6.83695,19.8559
17,144.5,31,219.06,-50.0001,-86.6025
9,72.37,8,35.48,-54.6987,-5.74906
19,162.31,32,227.47,10.2606,28.1908
16,135.26,5,11.34,-7.72558,-12.8575
1,0.01,39,283.5,31.2738,67.0667
39,342.48,5,11.4,62.3538,36
10,80.99,17,107.35,64.5155,7.9215
1,0.21,36,259.22,-64.9051,-56.421
0,-8.8,7,27.03,-18.7939,-6.8404
32,279.18,21,139.28,-28.9255,-34.472
23,198.43,19,123.05,33.1697,24.0992
25,216.48,13,74.99,-57.4878,-13.2721
16,135.31,35,251.21,-22.9269,-33.9905
3,17.97,24,163.07,60.6174,49.087
7,54.07,18,115.38,52.1948,9.20335
16,135.53,23,155.04,73.5403,61.7076
19,162.38,28,195.01,-3.40999,-3.65677
35,306.28,16,99.47,51.3469,19.7102
23,198.47,8,35.25,-15.9347,-10.3481
24,207.17,20,131.39,15.3589,38.0145
19,162.27,21,139,11.4337,35.1891
0,-8.95,30,211.25,63.5796,13.5142
2,9.17,28,195.36,26.9971,32.1738
7,54.22,6,19.04,14.6946,20.2254
25,216.07,31,219.22,-58.2194,-48.8518
10,81.41,35,251.2,58.2736,9.22963
32,279.56,33,235.39,-24.6744,-32.744
11,89.99,30,211.48,12.9031,1.5843
6,44.97,9,43.01,-46.5001,-80.5403
35,306.41,37,267.56,0.559194,0.829037
24,207.28,17,107.36,-53.0079,-10.3037
15,126.55,7,27.37,15.0231,28.2543
30,261,9,43.17,73.4484,9.01832
24,207.49,34,243.31,-8.89919,-6.46563
1,0.33,17,107.35,54.8516,51.1498
11,90.36,21,139.38,27.8155,11.2382
37,324.43,17,107.34,44.218,12.6793
24,207.06,4,3.02,8.96575,0.784401
19,162.03,14,83.3,-9.57659,-26.3114
6,45.3,12,67.4,2.22944,2.00739
21,180.43,19,123.51,39.3816,54.2041
21,180.34,7,27.47,6.78735,12.2447
11,90.35,35,251.24,54.0016,32.4474
17,144.51,22,147.2,-26.1609,-68.1513
31,270.02,39,283,-35.9473,-84.6864
22,189.18,1,-20.5,25.5974,23.8699
23,198.05,5,11.19,34.7147,15.456
8,63.06,9,43.2,28.8422,48.0013
